name,type,status,original_language,genres,origin_country,number_of_seasons,number_of_episodes,episode_run_time,vote_count,vote_average,popularity,first_air_date
The Snitch Cartel: Origins,Scripted,Returning Series,es,"Crime, Soap",CO,1,60,47,283,7.885,42.083,2021-07-28
Cruel Summer,Scripted,Returning Series,en,"Drama, Mystery",US,2,20,42,283,7.574,27.593,2021-04-20
Are You Human?,Scripted,Ended,ko,"Sci-Fi & Fantasy, Drama, Mystery",KR,1,36,35,283,8.498,14.348,2018-06-04
Our Planet,Documentary,Ended,en,Documentary,GB,2,12,50,283,8.6,16.034,2019-04-05
Yu-Gi-Oh! Capsule Monsters,Miniseries,Ended,en,"Animation, Action & Adventure",US,1,12,25,283,7.86,11.424,2006-09-09
Apocalipse,Scripted,Ended,pt,"Drama, Soap, Action & Adventure, Mystery",BR,1,155,60,283,7.7,65.239,2017-11-21
Itaewon Class,Scripted,Ended,ko,Drama,KR,1,16,69,282,8.489,18.392,2020-01-31
Extant,Scripted,Canceled,en,"Sci-Fi & Fantasy, Drama",US,2,26,42,282,6.344,25.443,2014-07-09
The White Queen,Miniseries,Ended,en,Drama,GB,1,10,60,281,7.3,19.834,2013-06-16
V Wars,Scripted,Canceled,en,"Sci-Fi & Fantasy, Drama","CA, US",1,10,42,281,7.431,11.834,2019-12-05
Business Proposal,Miniseries,Ended,ko,"Comedy, Drama",KR,1,12,60,281,8.422,88.533,2022-02-28
Unforgettable,Scripted,Canceled,en,"Crime, Drama, Mystery",US,4,61,45,280,7.198,35.509,2011-09-20
Rocket Power,Scripted,Ended,en,"Animation, Comedy, Family",US,3,119,24,280,7.784,35.267,1999-08-16
Perry Mason,Scripted,Canceled,en,"Drama, Mystery, Crime",US,2,16,60,280,7.3,21.32,2020-06-21
The Marvelous Misadventures of Flapjack,Scripted,Ended,en,"Sci-Fi & Fantasy, Comedy, Animation",US,3,90,11,280,8.05,89.746,2008-06-05
Dorohedoro,Scripted,Ended,ja,"Animation, Comedy, Action & Adventure, Sci-Fi & Fantasy",JP,1,12,24,280,8.373,18.304,2020-01-13
Olaf Presents,Scripted,Ended,en,"Animation, Family, Comedy",US,1,5,2,280,7.2,7.541,2021-11-12
Girls Bravo,Scripted,Ended,ja,"Animation, Sci-Fi & Fantasy, Comedy",JP,2,24,24,279,7.801,14.018,2004-07-05
